"","date","ANZSOC.Group","Area.Unit","Meshblock","Territorial.Authority","Alert.Level"
"985","1/04/2018","Common Assault","Auckland Central East.",436100,"Auckland.",3
"986","1/04/2018","Common Assault","Ruatoria.",1346500,"Gisborne District.",3
"987","1/04/2018","Common Assault","Otago University.",2868900,"Dunedin City.",3
"988","1/04/2018","Common Assault","Waihi Beach.",1081300,"Western Bay of Plenty District.",3
"989","1/04/2018","Common Assault","Queenstown Hill.",3033700,"Queenstown-Lakes District.",3
"990","1/04/2018","Common Assault","Lyttelton.",2707900,"Christchurch City.",3
"991","1/04/2018","Common Assault","Nelson Park.",1429500,"Napier City.",3
"992","1/04/2018","Common Assault","Stratford West.",1615900,"Stratford District.",3
"993","1/04/2018","Common Assault","Dannemora.",711709,"Auckland.",3
"994","1/04/2018","Common Assault","Kaiti South.",1386000,"Gisborne District.",3
"995","1/04/2018","Common Assault","Cambridge Central.",963000,"Waipa District.",3
"996","1/04/2018","Common Assault","Papaeoia.",1835300,"Palmerston North City.",3
"997","1/04/2018","Common Assault","Pukekohe North.",819100,"Auckland.",3
"998","1/04/2018","Common Assault","Saddle Hill.",2976600,"Dunedin City.",3
"999","1/04/2018","Common Assault","Arrowtown.",3034905,"Queenstown-Lakes District.",3
"1000","1/04/2018","Common Assault","Auckland Central West.",433501,"Auckland.",3
"1001","1/04/2018","Common Assault","Waikanae West.",1875400,"Kapiti Coast District.",3
"1002","1/04/2018","Common Assault","Gisborne Central.",1372500,"Gisborne District.",3
"1003","1/04/2018","Common Assault","Orewa.",171500,"Auckland.",3
"1004","1/04/2018","Common Assault","Mangere East.",656800,"Auckland.",3
"1005","1/04/2018","Common Assault","Welbourn.",1601100,"New Plymouth District.",3
"1006","1/04/2018","Common Assault","Levin North.",1871102,"Horowhenua District.",3
"1007","1/04/2018","Common Assault","Hamilton Central.",911800,"Hamilton City.",3
"1008","1/04/2018","Common Assault","Hawera South.",1644000,"South Taranaki District.",3
"1009","1/04/2018","Common Assault","Omapere and Opononi.",26202,"Far North District.",3
"1010","1/04/2018","Common Assault","999999",-125,"Gisborne District.",3
"1011","1/04/2018","Common Assault","Sandringham North.",536100,"Auckland.",3
"1012","1/04/2018","Common Assault","Waverley.",1663800,"South Taranaki District.",3
"1013","1/04/2018","Common Assault","Silverdale Central.",176503,"Auckland.",3
"1014","1/04/2018","Common Assault","Palmerston North Hospital.",1834400,"Palmerston North City.",3
"1015","1/04/2018","Common Assault","Manukau Central.",780204,"Auckland.",3
"1016","1/04/2018","Common Assault","Nelson Park.",1429700,"Napier City.",3
"1017","1/04/2018","Common Assault","Kelvin Grove.",1839102,"Palmerston North City.",3
"1018","1/04/2018","Common Assault","Grampians.",2324900,"Nelson City.",3
"1019","1/04/2018","Common Assault","Edgewater.",686900,"Auckland.",3
"1020","1/04/2018","Common Assault","Paraparaumu Central.",2003709,"Kapiti Coast District.",3
"1021","1/04/2018","Common Assault","Phillipstown.",2605800,"Christchurch City.",3
"1022","1/04/2018","Common Assault","Auckland Central West.",433200,"Auckland.",3
"1023","1/04/2018","Common Assault","Merivale.",2674101,"Christchurch City.",3
"1024","1/04/2018","Common Assault","Richmond North.",2697300,"Christchurch City.",3
"1025","1/04/2018","Common Assault","Albany.",178900,"Auckland.",3
"1026","1/04/2018","Common Assault","Frankton Junction.",916401,"Hamilton City.",3
"1027","1/04/2018","Common Assault","New Plymouth Central.",1592000,"New Plymouth District.",3
"1028","1/04/2018","Common Assault","Lynnmall.",266200,"Auckland.",3
"1029","1/04/2018","Common Assault","Porirua Central.",2052500,"Porirua City.",3
"1030","1/04/2018","Common Assault","Tairua.",1059226,"Thames-Coromandel District.",3
