"","X","ANZSOC.Group","Alert.Level","date","Area.Unit","Meshblock","Territorial.Authority","District","Calls.for.Service.and.Prevention","Crime.and.NonCrime.Demand","Event.Category","No"
"221",122,"Common Assault",2,"1/05/2017","Seaview.",2791300,"Timaru District.",NA,NA,NA,NA,NA
"222",122,"Non-Aggravated Sexual Assault",3,NA,NA,NA,NA,"Auckland City","Demand","Crime","Sexual",4
"223",123,"Common Assault",2,"1/05/2017","Parawai.",1052600,"Thames-Coromandel District.",NA,NA,NA,NA,NA
"224",123,"Non-Aggravated Sexual Assault",3,NA,NA,NA,NA,"Auckland City","Demand","Crime","Sexual",4
"225",124,"Assault not further defined",3,NA,NA,NA,NA,"Auckland City","Demand","Crime","Violence",7
"226",124,"Common Assault",2,"1/05/2017","Broads.",2330100,"Nelson City.",NA,NA,NA,NA,NA
"227",125,"Assault not further defined",3,NA,NA,NA,NA,"Auckland City","Demand","Crime","Violence",1
"228",125,"Common Assault",2,"1/05/2017","Rangiora North.",2444002,"Waimakariri District.",NA,NA,NA,NA,NA
"229",126,"Assault not further defined",3,NA,NA,NA,NA,"Auckland City","Demand","Crime","Violence",7
"230",126,"Common Assault",2,"1/05/2017","Maungawhau.",553700,"Auckland.",NA,NA,NA,NA,NA
"231",127,"Assault not further defined",3,NA,NA,NA,NA,"Auckland City","Demand","Crime","Violence",1
"232",127,"Common Assault",2,"1/05/2017","Upper Hutt Central.",1906200,"Upper Hutt City.",NA,NA,NA,NA,NA
"233",128,"Common Assault",2,"1/05/2017","Gisborne Airport.",1375300,"Gisborne District.",NA,NA,NA,NA,NA
"234",128,"Common Assault",3,NA,NA,NA,NA,"Auckland City","Demand","Crime","Violence",5
"235",129,"Aggravated Sexual Assault",3,NA,NA,NA,NA,"Bay Of Plenty","Demand","Crime","Sexual",1
"236",129,"Common Assault",2,"1/05/2017","Hillpark.",757300,"Auckland.",NA,NA,NA,NA,NA
"237",130,"Common Assault",2,"1/05/2017","Hamilton Central.",911800,"Hamilton City.",NA,NA,NA,NA,NA
"238",130,"Non-Aggravated Sexual Assault",3,NA,NA,NA,NA,"Bay Of Plenty","Demand","Crime","Sexual",1
"239",131,"Assault not further defined",3,NA,NA,NA,NA,"Bay Of Plenty","Demand","Crime","Violence",5
"240",131,"Common Assault",2,"1/05/2017","Dallington.",2599100,"Christchurch City.",NA,NA,NA,NA,NA
"241",132,"Assault not further defined",3,NA,NA,NA,NA,"Bay Of Plenty","Demand","Crime","Violence",1
"242",132,"Common Assault",2,"1/05/2017","Highbury.",1815800,"Palmerston North City.",NA,NA,NA,NA,NA
