"","District","date","Event.Type","Number of victims","Territorial.Authority","ANZSOC.Group"
"4769",NA,"1/10/19",NA,196996,"Tauranga City.","Serious Assault Not Resulting in Injury"
"4770",NA,"1/10/19",NA,197004,"Taupo District.","Common Assault"
"4771",NA,"1/10/19",NA,197006,"Christchurch City.","Serious Assault Not Resulting in Injury"
"4772",NA,"1/10/19",NA,197014,"Wellington City.","Common Assault"
"4773",NA,"1/10/19",NA,197021,"Waimakariri District.","Serious Assault Not Resulting in Injury"
"4774",NA,"1/10/19",NA,197023,"Napier City.","Serious Assault Resulting in Injury"
"4775",NA,"1/10/19",NA,197029,"Gisborne District.","Common Assault"
"4776",NA,"1/10/19",NA,197036,"Wanganui District.","Serious Assault Not Resulting in Injury"
"4777",NA,"1/10/19",NA,197039,"Dunedin City.","Common Assault"
"4778",NA,"1/10/19",NA,197046,"Hamilton City.","Serious Assault Not Resulting in Injury"
"4779",NA,"1/10/19",NA,197051,"South Waikato District.","Serious Assault Not Resulting in Injury"
"4780",NA,"1/10/19",NA,197059,"Hastings District.","Common Assault"
"4781",NA,"1/10/19",NA,197066,"Christchurch City.","Serious Assault Not Resulting in Injury"
"4782",NA,"1/10/19",NA,197080,"Wanganui District.","Aggravated Sexual Assault"
"4783",NA,"1/10/19",NA,197085,"Palmerston North City.","Aggravated Sexual Assault"
"4784",NA,"1/10/19",NA,197090,"Gisborne District.","Aggravated Sexual Assault"
"4785",NA,"1/10/19",NA,197095,"Dunedin City.","Aggravated Sexual Assault"
"4786",NA,"1/10/19",NA,197100,"Invercargill City.","Aggravated Sexual Assault"
"4787",NA,"1/12/19",NA,198019,"Auckland.","Common Assault"
"4788",NA,"1/12/19",NA,198023,"Thames-Coromandel District.","Serious Assault Resulting in Injury"
"4789",NA,"1/12/19",NA,198029,"Kapiti Coast District.","Common Assault"
"4790",NA,"1/12/19",NA,198039,"South Taranaki District.","Common Assault"
"4791",NA,"1/12/19",NA,198041,"Manawatu District.","Serious Assault Not Resulting in Injury"
"4792",NA,"1/12/19",NA,198043,"Christchurch City.","Serious Assault Resulting in Injury"
"4793",NA,"1/12/19",NA,198048,"Waipa District.","Serious Assault Resulting in Injury"
"4794",NA,"1/12/19",NA,198049,"South Wairarapa District.","Common Assault"
"4795",NA,"1/12/19",NA,198054,"Waikato District.","Common Assault"
"4796",NA,"1/12/19",NA,198056,"Whakatane District.","Serious Assault Not Resulting in Injury"
"4797",NA,"1/12/19",NA,198058,"Hamilton City.","Serious Assault Resulting in Injury"
