OBJECTID,dp_zone,SubZone,Centre_Type,Property_Report_Note,GlobalID,Shape__Area,Shape__Length
204,Outer Residential,,,,1987bf34-63c3-43a2-ac76-1cfc209619fb,12020.5546875,460.96140425046
205,Outer Residential,,,,8185a955-92c2-46c8-b123-18110e8a9635,12067.4375,606.744477496097
206,Outer Residential,,,,2b374a4e-9d2b-4cc1-a386-ed9e86509936,12060.3828125,600.796537102746
207,Outer Residential,,,,82a4ac1d-9f53-4587-8678-51c75b86e33d,12180.1953125,506.11574034448
208,Outer Residential,,,,61d79fd9-21ee-49e0-a8bc-b76294408116,12176.3203125,706.204422973953
209,Outer Residential,,,,d673233e-ec8c-4e5f-9f8e-816c52b2f82c,12383.8046875,534.547390514894
210,Outer Residential,,,,b6aca1fe-c66e-43c2-945f-2c3c5aced8f2,12420.1953125,608.306253237581
211,Outer Residential,,,,972180f4-9f3c-49b6-aa4b-6b68286d8571,12460.6171875,677.603023439834
212,Outer Residential,,,,95ba74d8-aeef-46d6-a1f2-39159b2a1783,12485.7890625,508.300172656058
213,Outer Residential,,,,d45f4d28-13ca-4ba1-9571-75810056513f,12527.5078125,636.77965251745
214,Outer Residential,,,,2796f8b5-796a-4387-a36d-fe33b36ed93d,12529.640625,514.095063489998
215,Outer Residential,,,,ac7163ab-affb-4c39-9155-bd9841708968,12654.1953125,530.118929387425
216,Outer Residential,,,,a9621d6f-3380-4b4f-89b6-6664fd2b0b03,12668.875,457.601223721952
217,Outer Residential,,,,443a3fa9-b165-47e2-92ed-e6c03510a982,12748.609375,456.977111139867
218,Outer Residential,,,,280b36e2-da5f-41af-a9e6-2dd5510049e6,12796.5,470.826731545819
219,Outer Residential,,,,7c436860-96cf-4fd2-8ad9-a575695890d8,12894.0546875,541.972401935963
220,Outer Residential,,,,436f2fc7-a0e6-4dd6-97e8-b49f86fa784f,13068.765625,535.277621020278
221,Outer Residential,,,,3dddbc0a-e40f-4ddd-957f-823a95211527,13057.4453125,459.624077900546
222,Outer Residential,,,,b93dca2f-51c2-4dfc-819e-77bada418eb7,13366.4609375,455.209235890776
223,Outer Residential,,,,4be05bab-3934-4d2d-ac07-4a1fcb3fcdec,13378.5703125,526.22206459236
224,Outer Residential,,,,e9201a73-4eaa-4aa0-b86b-fe1856d78437,13500.8984375,579.820871222457
225,Outer Residential,,,,a6cdee32-03ff-4bbc-83f4-2b3f2a5b3968,13483.234375,648.739994951664
226,Outer Residential,,,,ab66d9ec-f62a-44e9-8501-b7bdc34a809f,6319.25,325.090742549636
227,Outer Residential,,,,26011f49-bb7f-48ab-942d-651a2195af03,13689.484375,741.907923636807
228,Outer Residential,,,,c7ae7d68-3f83-492b-8d3c-3def3822659f,13731.7109375,536.400900031058
229,Outer Residential,,,,a3c65a67-d159-4b77-97eb-432393185c85,13759.640625,697.532826062868
230,Outer Residential,,,,be356099-2dd8-4082-a4ff-13974f21ce1c,13909.0078125,563.806556373177
231,Outer Residential,,,,9767793d-32f9-41b0-ba3e-6d5cd0061d7a,13925.484375,536.172911852265
232,Outer Residential,,,,ea5a001c-dd5b-4661-90fc-5bd29574d6c8,13937.03125,489.912090033726
233,Outer Residential,,,,3123864f-245c-441c-ab74-7e3768fd91af,14038.1796875,758.156740970682
234,Outer Residential,,,,a7cc3f20-cb1c-48e9-8615-676cc836bc9a,14388.1953125,583.612711478017
235,Outer Residential,,,,7ddc66ad-6d57-45bb-9bf4-e5b8cf1c4929,14441.015625,600.989393103363
236,Outer Residential,,,,32a5f9a6-ec93-481e-9c0e-59a47be9256d,14602.953125,484.511212233362
237,Outer Residential,,,,1e5b6108-486e-4b18-b061-6aff31056a79,14633.03125,596.432960950885
238,Outer Residential,,,,0ae17858-4e85-4ac1-b235-d0a70312cd22,14802.7578125,569.031616693516
239,Outer Residential,,,,961c6bb2-a19f-42a8-87e0-e231ac04e4b2,14727.796875,728.199984606635
240,Outer Residential,,,,76ed493a-81d9-49b1-a887-f6d7cc9b4d15,14826.265625,547.940631217468
241,Outer Residential,,,,f775b10d-dbb4-407d-b9c1-e3c8742ea90d,14866.03125,645.800769617206
242,Outer Residential,,,,d41421bb-c451-4882-a9a6-fa1e84ab0437,14884.03125,495.816486030731
243,Outer Residential,,,,ede5f518-8d4f-45cf-b9fa-44930373cccc,15021.7734375,633.440062771544
244,Outer Residential,,,,21dbe28e-b734-4947-8418-cffdbbc49a1c,15110.453125,667.966042168479
245,Outer Residential,,,,b2204cf6-2a9f-4762-839f-f463bff208dc,15181.421875,519.79059683045
246,Outer Residential,,,,52d6f5f2-9c9e-4cb0-b043-5b42a305e325,15211.0078125,711.19136270025
247,Outer Residential,,,,9833b501-2f13-423f-8296-49570334ced7,15384.7265625,630.665297049011
248,Outer Residential,,,,970834ed-2251-4296-8a6e-4a6caeb6c908,15435.171875,500.717903567759
249,Outer Residential,,,,483fec8f-2bf1-4167-98d0-d53a860512e1,15503.953125,517.921461740888
250,Outer Residential,,,,3bbe6887-eea4-40f5-8b76-f2e831247f47,15442.015625,480.823201637538
251,Outer Residential,,,,a539db89-c1a5-4c55-8932-fdba91ecaf29,15495.0078125,661.643775863834
