"","month","year","Event","Area.Unit","Meshblock","Territorial.Authority","Alert.Level","Location","No"
"2879","3","19","Serious Assault Not Resulting in Injury","Selwyn-Rakaia.",2722300,"Selwyn District.",4,"Canterbury",NA
"2880","3","19","Common Assault","Epsom Central.",446901,"Auckland.",4,"Auckland",NA
"2881","3","19","Common Assault","High St-Stuart St.",2899200,"Dunedin City.",4,"Southland/ Otago",NA
"2882","3","19","Serious Assault Not Resulting in Injury","Papakura Central.",792202,"Auckland.",4,"Auckland",NA
"2883","3","19","Serious Assault Not Resulting in Injury","Parkside.",2800500,"Timaru District.",4,"Canterbury",NA
"2884","3","19","Common Assault","Temple View.",979500,"Hamilton City.",4,"Waikato",NA
"2885","3","19","Serious Assault Not Resulting in Injury","Cathedral Square.",2651000,"Christchurch City.",4,"Canterbury",NA
"2886","3","19","Aggravated Sexual Assault","Waerenga.",935600,"Waikato District.",4,"Waikato",NA
"2887","3","19","Aggravated Sexual Assault","999999",-267,"Wellington City.",4,"Wellington/ Lower-Central North",NA
"2888","3","19","Aggravated Sexual Assault","Putaruru.",1131301,"South Waikato District.",4,"Waikato",NA
"2889","3","19","Aggravated Sexual Assault","Willis Street-Cambridge Terrace.",2133500,"Wellington City.",4,"Wellington/ Lower-Central North",NA
"2890","4","19","Common Assault","Hokianga South.",27600,"Far North District.",3,"Northland",NA
"2891","4","19","Common Assault","Bledisloe Park.",823300,"Auckland.",3,"Auckland",NA
"2892","4","19","Common Assault","Lynmouth.",1581200,"New Plymouth District.",3,"West Coast/ Upper-Central North",NA
"2893","4","19","Common Assault","Parawai.",1052700,"Thames-Coromandel District.",3,"Waikato",NA
"2894","4","19","Common Assault","Otara North.",700300,"Auckland.",3,"Auckland",NA
"2895","4","19","Serious Assault Not Resulting in Injury","Mangere South.",727200,"Auckland.",3,"Auckland",NA
"2896","4","19","Serious Assault Not Resulting in Injury","Otahuhu West.",783900,"Auckland.",3,"Auckland",NA
"2897","4","19","Serious Assault Resulting in Injury","Naenae North.",1953300,"Lower Hutt City.",3,"Wellington/ Lower-Central North",NA
"2898","4","19","Common Assault","Wiri.",780416,"Auckland.",3,"Auckland",NA
