"","year","Event","Meshblock","Alert.Level","Location","number_of_victimizations"
"1226","18","Aggravated Sexual Assault",1958400,3,"Wellington/ Lower-Central North",NA
"1227","18","Non-Aggravated Sexual Assault",2245600,3,"Wellington/ Lower-Central North",NA
"1228","18","Aggravated Sexual Assault",85800,3,"Northland",NA
"1229","18","Common Assault",2649300,4,"Canterbury",NA
"1230","18","Common Assault",1180006,4,"Bay Of Plenty",NA
"1231","18","Common Assault",2048300,4,"Wellington/ Lower-Central North",NA
"1232","18","Serious Assault Not Resulting in Injury",1816304,4,"West Coast/ Upper-Central North",NA
"1233","18","Serious Assault Not Resulting in Injury",1047101,4,"Waikato",NA
"1234","18","Serious Assault Not Resulting in Injury",780407,4,"Auckland",NA
"1235","18","Common Assault",41800,4,"Northland",NA
"1236","18","Common Assault",954000,4,"Waikato",NA
"1237","18","Serious Assault Not Resulting in Injury",3029303,4,"Southland/ Otago",NA
"1238","18","Serious Assault Not Resulting in Injury",892900,4,"Waikato",NA
"1239","18","Serious Assault Not Resulting in Injury",1675400,4,"West Coast/ Upper-Central North",NA
"1240","18","Serious Assault Resulting in Injury",2297700,4,"Tasman/ South-West Coast",NA
"1241","18","Common Assault",2484302,4,"Canterbury",NA
"1242","18","Common Assault",757300,4,"Auckland",NA
"1243","18","Common Assault",2787000,4,"Canterbury",NA
"1244","18","Serious Assault Not Resulting in Injury",1502000,4,"Hawkes Bay/ Gisborne",NA
"1245","18","Serious Assault Not Resulting in Injury",1236000,4,"Bay Of Plenty",NA
"1246","18","Serious Assault Not Resulting in Injury",2446407,4,"Canterbury",NA
"1247","18","Common Assault",1835000,4,"West Coast/ Upper-Central North",NA
"1248","18","Common Assault",2630800,4,"Canterbury",NA
"1249","18","Serious Assault Not Resulting in Injury",2453202,4,"Canterbury",NA
"1250","18","Common Assault",1856907,4,"Wellington/ Lower-Central North",NA
"1251","18","Common Assault",1218801,4,"Bay Of Plenty",NA
"1252","18","Serious Assault Not Resulting in Injury",1977303,4,"Wellington/ Lower-Central North",NA
"1253","18","Common Assault",2149200,4,"Wellington/ Lower-Central North",NA
"1254","18","Serious Assault Not Resulting in Injury",235010,4,"Auckland",NA
"1255","18","Serious Assault Not Resulting in Injury",2451400,4,"Canterbury",NA
"1256","18","Common Assault",658201,4,"Auckland",NA
"1257","18","Serious Assault Not Resulting in Injury",64300,4,"Northland",NA
"1258","18","Aggravated Sexual Assault",2678500,4,"Canterbury",NA
"1259","18","Aggravated Sexual Assault",542700,4,"Auckland",NA
"1260","18","Aggravated Sexual Assault",-250,4,"Hawkes Bay/ Gisborne",NA
"1261","18","Common Assault",774449,3,"Auckland",NA
"1262","18","Common Assault",178900,3,"Auckland",NA
